location_id,census_geoid,city,state,population,lat,lng,dem_m,timezone,utc_offset_hours
0,3651000,New York city,NY,8584629,40.7143,-74.0060,57,America/New_York,-5.0000
1,0644000,Los Angeles city,CA,3869089,34.0522,-118.2437,96,America/Los_Angeles,-8.0000
2,1714000,Chicago city,IL,2731585,41.8500,-87.6500,180,America/Chicago,-6.0000
3,4835000,Houston city,TX,2397315,29.7633,-95.3633,30,America/Chicago,-6.0000
4,0455000,Phoenix city,AZ,1665481,33.4484,-112.0740,366,America/Phoenix,-7.0000
5,4260000,Philadelphia city,PA,1574281,39.9524,-75.1636,8,America/New_York,-5.0000
6,4865000,San Antonio city,TX,1548422,29.4241,-98.4936,202,America/Chicago,-6.0000
7,0666000,San Diego city,CA,1406106,32.7157,-117.1647,20,America/Los_Angeles,-8.0000
8,4819000,Dallas city,TX,1329491,32.7831,-96.8067,139,America/Chicago,-6.0000
9,4827000,Fort Worth city,TX,1028117,32.7254,-97.3208,203,America/Chicago,-6.0000
10,1235000,Jacksonville city,FL,1017689,30.3322,-81.6556,12,America/New_York,-5.0000
11,4805000,Austin city,TX,1002632,30.2672,-97.7431,165,America/Chicago,-6.0000
12,0668000,San Jose city,CA,989814,37.3394,-121.8950,23,America/Los_Angeles,-8.0000
13,3712000,Charlotte city,NC,964784,35.2271,-80.8431,272,America/New_York,-5.0000
14,3918000,Columbus city,OH,938396,39.9612,-82.9988,242,America/New_York,-5.0000
15,1836003,Indianapolis city (balance),IN,901116,39.7684,-86.1580,248,America/Indiana/Indianapolis,-5.0000
16,0667000,San Francisco city,CA,826079,37.7749,-122.4194,28,America/Los_Angeles,-8.0000
17,5363000,Seattle city,WA,784777,47.6062,-122.3321,56,America/Los_Angeles,-8.0000
18,0820000,Denver city,CO,740613,39.7392,-104.9847,1636,America/Denver,-7.0000
19,4752006,Nashville-Davidson metropolitan government (balance),TN,721074,36.1659,-86.7844,171,America/Chicago,-6.0000
20,4055000,Oklahoma City city,OK,719849,35.4676,-97.5164,395,America/Chicago,-6.0000
21,1150000,Washington city,DC,693645,38.9001,-77.0164,17,America/New_York,-5.0000
22,4824000,El Paso city,TX,683012,31.7587,-106.4869,1137,America/Denver,-7.0000
23,3240000,Las Vegas city,NV,679817,36.1750,-115.1372,613,America/Los_Angeles,-8.0000
24,2507000,Boston city,MA,672973,42.3584,-71.0598,38,America/New_York,-5.0000
25,2622000,Detroit city,MI,649095,42.3314,-83.0458,192,America/Detroit,-5.0000
26,2148006,Louisville/Jefferson County metro government (balance),KY,641962,38.2542,-85.7594,143,America/Kentucky/Louisville,-5.0000
27,4159000,Portland city,OR,635109,45.5234,-122.6762,15,America/Los_Angeles,-8.0000
28,4748000,Memphis city,TN,609647,35.1495,-90.0490,84,America/Chicago,-6.0000
29,2404000,Baltimore city,MD,569997,39.2904,-76.6122,35,America/New_York,-5.0000
30,5553000,Milwaukee city,WI,562407,43.0389,-87.9065,203,America/Chicago,-6.0000
31,3502000,Albuquerque city,NM,556588,35.0845,-106.6511,1513,America/Denver,-7.0000
32,0627000,Fresno city,CA,555549,36.7477,-119.7724,99,America/Los_Angeles,-8.0000
33,0477000,Tucson city,AZ,548371,32.2217,-110.9265,757,America/Phoenix,-7.0000
34,0664000,Sacramento city,CA,536449,38.5816,-121.4944,14,America/Los_Angeles,-8.0000
35,1304000,Atlanta city,GA,529110,33.7490,-84.3880,336,America/New_York,-5.0000
36,2938000,Kansas City city,MO,521220,39.0997,-94.5786,290,America/Chicago,-6.0000
37,0446000,Mesa city,AZ,513656,33.4223,-111.8226,380,America/Phoenix,-7.0000
38,3755000,Raleigh city,NC,506306,35.7721,-78.6386,99,America/New_York,-5.0000
39,0816000,Colorado Springs city,CO,494743,38.8339,-104.8214,1838,America/Denver,-7.0000
40,1245000,Miami city,FL,489812,25.7743,-80.1937,25,America/New_York,-5.0000
41,3137000,Omaha city,NE,488797,41.2563,-95.9404,315,America/Chicago,-6.0000
42,5182000,Virginia Beach city,VA,453737,36.8529,-75.9780,4,America/New_York,-5.0000
43,0643000,Long Beach city,CA,450469,33.7670,-118.1892,24,America/Los_Angeles,-8.0000
44,0653000,Oakland city,CA,440838,37.8044,-122.2708,24,America/Los_Angeles,-8.0000
45,2743000,Minneapolis city,MN,430324,44.9800,-93.2638,262,America/Chicago,-6.0000
46,0603526,Bakersfield city,CA,422165,35.3733,-119.0187,130,America/Los_Angeles,-8.0000
47,4075000,Tulsa city,OK,416209,36.1540,-95.9928,226,America/Chicago,-6.0000
48,1271000,Tampa city,FL,413554,27.9475,-82.4584,41,America/New_York,-5.0000
49,0804000,Aurora city,CO,410053,39.7294,-104.8319,1651,America/Denver,-7.0000
50,4804000,Arlington city,TX,402134,32.7357,-97.1081,190,America/Chicago,-6.0000
51,2079000,Wichita city,KS,400987,37.6922,-97.3375,402,America/Chicago,-6.0000
52,3916000,Cleveland city,OH,363608,41.4995,-81.6954,204,America/New_York,-5.0000
53,2255000,New Orleans city,LA,362154,29.9546,-90.0751,18,America/Chicago,-6.0000
54,3231900,Henderson city,NV,353289,36.0397,-114.9819,572,America/Los_Angeles,-8.0000
55,0602000,Anaheim city,CA,341008,33.8353,-117.9145,55,America/Los_Angeles,-8.0000
56,1253000,Orlando city,FL,333888,28.5383,-81.3792,54,America/New_York,-5.0000
57,2146027,Lexington-Fayette urban county,KY,329751,38.0498,-84.4586,304,America/New_York,-5.0000
58,0675000,Stockton city,CA,324597,37.9577,-121.2908,6,America/Los_Angeles,-8.0000
59,3451000,Newark city,NJ,323808,40.7357,-74.1724,22,America/New_York,-5.0000
60,0662000,Riverside city,CA,323057,33.9534,-117.3962,257,America/Los_Angeles,-8.0000
61,0636770,Irvine city,CA,318764,33.6758,-117.7598,61,America/Los_Angeles,-8.0000
62,4817000,Corpus Christi city,TX,317247,27.8006,-97.3964,8,America/Chicago,-6.0000
63,0669000,Santa Ana city,CA,315586,33.7456,-117.8678,39,America/Los_Angeles,-8.0000
64,3915000,Cincinnati city,OH,314367,39.1271,-84.5144,267,America/New_York,-5.0000
65,3728000,Greensboro city,NC,308667,36.0726,-79.7920,260,America/New_York,-5.0000
66,4261000,Pittsburgh city,PA,307632,40.4406,-79.9959,239,America/New_York,-5.0000
67,2758000,St. Paul city,MN,306684,44.9444,-93.0933,242,America/Chicago,-6.0000
68,3719000,Durham city,NC,305561,35.9940,-78.8986,121,America/New_York,-5.0000
69,3436000,Jersey City city,NJ,302013,40.7282,-74.0776,11,America/New_York,-5.0000
70,3128000,Lincoln city,NE,301522,40.8000,-96.6670,366,America/Chicago,-6.0000
71,3251800,North Las Vegas city,NV,296653,36.1989,-115.1175,570,America/Los_Angeles,-8.0000
72,4858016,Plano city,TX,293028,33.0198,-96.6989,207,America/Chicago,-6.0000
73,0427400,Gilbert town,AZ,287285,33.3528,-111.7890,377,America/Phoenix,-7.0000
74,5548000,Madison city,WI,286233,43.0730,-89.4012,272,America/Chicago,-6.0000
