location_id,eccc_station_ids,primary_station_name,distance_km,elevation_m,utc_offset_hours
500,4841|31688|5097,TORONTO BUTTONVILLE A,17.24,198.1,-5
501,10761|10873|5415,MCTAVISH,9.53,72.8,-5
502,888|6830|6833,VANCOUVER HARBOUR CS,14.54,2.5,-8
503,9010|2205|2171,COP UPPER,10.88,1235.0,-8
504,1868|27214|27793,EDMONTON NAMAO A,14.71,687.9,-8
505,30578|8375|4337,OTTAWA CDA RCS,1.81,79.2,-5
506,28051|3698|51097,WINNIPEG THE FORKS,1.33,230.0,-6
507,5293|27377|27803,VALCARTIER A,20.11,167.6,-5
508,7868|27529|4932,BURLINGTON PIERS (AUT),6.74,77.4,-5
509,41983|45407|48569,ELORA RCS,24.69,376.4,-5
510,10999|4789|50093,LONDON CS,10.75,278.0,-5
511,52|6812|65,ESQUIMALT HARBOUR,7.39,3.0,-8
512,6465|10945|7169,SHEARWATER A,10.64,44.0,-4
513,48649|52727|52726,OSHAWA,2.04,139.9,-5
514,30266|4716|10084,HARROW CDA AUTO,28.67,191.0,-6
515,3328|47707|50091,SASKATOON DIEFENBAKER INT'L A,6.13,504.1,-7
516,7790|31367|4683,PORT WELLER (AUT),12.78,79.0,-5
517,28011|3002|44543,REGINA RCS,4.78,577.3,-7
518,6720|27286|48871,ST JOHN'S A,10.1,140.5,-4
519,48369|1001|51117,KELOWNA,16.74,433.1,-8
520,27604|42183|29516,EGBERT CS,18.4,251.0,-5
521,5397|10801|48371,LENNOXVILLE,8.21,181.0,-5
522,41983|45407|48569,ELORA RCS,19.31,376.4,-5
523,30578|4337|49568,OTTAWA CDA RCS,17.85,79.2,-5
524,702|50308|50368,ABBOTSFORD A,4.06,59.13,-8
525,8321|10764|10732,TROIS-RIVIERES,7.89,62.2,-5
526,4295|47267|50428,KINGSTON A,5.42,92.4,-5
527,7868|27529|5097,BURLINGTON PIERS (AUT),25.95,77.4,-5
528,6207|50309|54282,MONCTON A,7.66,70.7,-4
529,925|6830|49088,WHITE ROCK CAMPBELL SCIENTIFIC,3.51,13.0,-8
530,29411|138|192,ENTRANCE ISLAND,12.97,7.6,-8
531,4932|49908|53378,HAMILTON A,28.19,237.7,-5
532,5889|5911|27315,BAGOTVILLE A,14.08,159.1,-5
533,5616|49608|42014,MONTREAL/MIRABEL INT'L A,10.64,82.6,-5
534,10906|2134|41784,LACOMBE CDA 2,20.2,860.0,-8
535,4061|30682|4055,WELCOME ISLAND (AUT),12.37,211.4,-6
