location_id,city,state,lat,lng,dem_m,timezone,utc_offset_hours
1000,London,United Kingdom,51.5085,-0.1257,25.0000,Europe/London,0
1001,Berlin,Germany,52.5244,13.4105,43.0000,Europe/Berlin,1
1002,Madrid,Spain,40.4165,-3.7026,665.0000,Europe/Madrid,1
1003,Rome,Italy,41.8919,12.5113,52.0000,Europe/Rome,1
1004,Paris,France,48.8534,2.3488,42.0000,Europe/Paris,1
1005,Hamburg,Germany,53.5507,9.9930,9.0000,Europe/Berlin,1
1006,Bucharest,Romania,44.4323,26.1063,83.0000,Europe/Bucharest,2
1007,Budapest,Hungary,47.4984,19.0404,104.0000,Europe/Budapest,1
1008,Warsaw,Poland,52.2298,21.0118,113.0000,Europe/Warsaw,1
1009,Vienna,Austria,48.2085,16.3721,193.0000,Europe/Vienna,1
1010,Barcelona,Spain,41.3888,2.1590,47.0000,Europe/Madrid,1
1011,Stockholm,Sweden,59.3294,18.0687,17.0000,Europe/Stockholm,1
1012,Munich,Germany,48.1374,11.5755,524.0000,Europe/Berlin,1
1013,Milan,Italy,45.4643,9.1895,127.0000,Europe/Rome,1
1014,Prague,Czechia,50.0880,14.4208,202.0000,Europe/Prague,1
1015,Birmingham,United Kingdom,52.4814,-1.8998,149.0000,Europe/London,0
1016,Copenhagen,Denmark,55.6759,12.5655,14.0000,Europe/Copenhagen,1
1017,Sofia,Bulgaria,42.6975,23.3241,562.0000,Europe/Sofia,2
1018,Köln,Germany,50.9333,6.9500,58.0000,Europe/Berlin,1
1019,Dublin,Ireland,53.3331,-6.2489,17.0000,Europe/Dublin,0
1020,Brussels,Belgium,50.8505,4.3488,28.0000,Europe/Brussels,1
1021,Pest,Hungary,47.5000,19.0833,113.0000,Europe/Budapest,1
1022,Naples,Italy,40.8522,14.2681,14.0000,Europe/Rome,1
1023,Marseille,France,43.2970,5.3811,28.0000,Europe/Paris,1
1024,Rotterdam,The Netherlands,51.9225,4.4792,9.0000,Europe/Amsterdam,1
1025,Turin,Italy,45.0705,7.6868,245.0000,Europe/Rome,1
1026,Valencia,Spain,39.4739,-0.3797,10.0000,Europe/Madrid,1
1027,Kraków,Poland,50.0614,19.9366,219.0000,Europe/Warsaw,1
1028,Riga,Latvia,56.9460,24.1059,6.0000,Europe/Riga,2
1029,Amsterdam,The Netherlands,52.3740,4.8897,13.0000,Europe/Amsterdam,1
1030,Zaragoza,Spain,41.6561,-0.8773,214.0000,Europe/Madrid,1
1031,Sevilla,Spain,37.3828,-5.9732,16.0000,Europe/Madrid,1
1032,Wrocław,Poland,51.1029,17.0301,115.0000,Europe/Warsaw,1
1033,Athens,Greece,37.9838,23.7278,84.0000,Europe/Athens,2
1034,Zagreb,Croatia,45.8144,15.9780,135.0000,Europe/Zagreb,1
1035,Helsinki,Finland,60.1695,24.9354,26.0000,Europe/Helsinki,2
1036,Frankfurt am Main,Germany,50.1155,8.6842,113.0000,Europe/Berlin,1
1037,Palermo,Italy,38.1166,13.3636,20.0000,Europe/Rome,1
1038,Łódź,Poland,51.7706,19.4739,214.0000,Europe/Warsaw,1
1039,Glasgow,United Kingdom,55.8651,-4.2576,40.0000,Europe/London,0
1040,Düsseldorf,Germany,51.2232,6.7793,42.0000,Europe/Berlin,1
1041,Stuttgart,Germany,48.7823,9.1770,252.0000,Europe/Berlin,1
1042,Gothenburg,Sweden,57.7072,11.9668,10.0000,Europe/Stockholm,1
1043,Essen,Germany,51.4566,7.0123,83.0000,Europe/Berlin,1
1044,Málaga,Spain,36.7202,-4.4203,22.0000,Europe/Madrid,1
1045,Dortmund,Germany,51.5149,7.4660,96.0000,Europe/Berlin,1
1046,Genoa,Italy,44.4048,8.9444,17.0000,Europe/Rome,1
1047,Manchester,United Kingdom,53.4809,-2.2374,51.0000,Europe/London,0
1048,Dresden,Germany,51.0509,13.7383,116.0000,Europe/Berlin,1
1049,Sheffield,United Kingdom,53.3830,-1.4659,75.0000,Europe/London,0
1050,Bremen,Germany,53.0758,8.8072,17.0000,Europe/Berlin,1
1051,Vilnius,Lithuania,54.6892,25.2798,98.0000,Europe/Vilnius,2
1052,Leeds,United Kingdom,53.7965,-1.5478,50.0000,Europe/London,0
1053,Poznań,Poland,52.4069,16.9299,69.0000,Europe/Warsaw,1
1054,Antwerp,Belgium,51.2205,4.4003,13.0000,Europe/Brussels,1
1055,Lyon,France,45.7491,4.8479,173.0000,Europe/Paris,1
1056,Lisbon,Portugal,38.7251,-9.1498,68.0000,Europe/Lisbon,0
1057,Nuremberg,Germany,49.4542,11.0775,300.0000,Europe/Berlin,1
1058,Hannover,Germany,52.3705,9.7332,57.0000,Europe/Berlin,1
1059,Edinburgh,United Kingdom,55.9521,-3.1965,66.0000,Europe/London,0
1060,Toulouse,France,43.6043,1.4437,150.0000,Europe/Paris,1
1061,Leipzig,Germany,51.3396,12.3713,116.0000,Europe/Berlin,1
1062,Duisburg,Germany,51.4325,6.7652,38.0000,Europe/Berlin,1
1063,Liverpool,United Kingdom,53.4106,-2.9779,30.0000,Europe/London,0
1064,Gdańsk,Poland,54.3523,18.6491,8.0000,Europe/Warsaw,1
1065,Bristol,United Kingdom,51.4552,-2.5966,21.0000,Europe/London,0
1066,The Hague,The Netherlands,52.0767,4.2986,4.0000,Europe/Amsterdam,1
1067,Murcia,Spain,37.9870,-1.1300,53.0000,Europe/Madrid,1
1068,Palma,Spain,39.5694,2.6502,34.0000,Europe/Madrid,1
1069,Bratislava,Slovakia,48.1482,17.1067,157.0000,Europe/Bratislava,1
1070,Zürich,Switzerland,47.3667,8.5500,429.0000,Europe/Zurich,1
1071,Wandsbek,Germany,53.5833,10.0831,19.0000,Europe/Berlin,1
1072,Szczecin,Poland,53.4289,14.5530,25.0000,Europe/Warsaw,1
1073,Bologna,Italy,44.4938,11.3387,71.0000,Europe/Rome,1
1074,Tallinn,Estonia,59.4370,24.7535,12.0000,Europe/Tallinn,2
1075,Sector 3,Romania,44.4234,26.1687,76.0000,Europe/Bucharest,2
1076,Brno,Czechia,49.1952,16.6080,226.0000,Europe/Prague,1
1077,Iaşi,Romania,47.1667,27.6000,66.0000,Europe/Bucharest,2
1078,Utrecht,The Netherlands,52.0908,5.1222,13.0000,Europe/Amsterdam,1
1079,Cardiff,United Kingdom,51.4800,-3.1800,17.0000,Europe/London,0
1080,Leicester,United Kingdom,52.6386,-1.1317,65.0000,Europe/London,0
1081,Sector 6,Romania,44.4358,26.0165,95.0000,Europe/Bucharest,2
1082,Florence,Italy,43.7792,11.2463,51.0000,Europe/Rome,1
1083,Bradford,United Kingdom,53.7939,-1.7521,110.0000,Europe/London,0
1084,Malmö,Sweden,55.6059,13.0007,12.0000,Europe/Stockholm,1
1085,Wuppertal,Germany,51.2563,7.1482,150.0000,Europe/Berlin,1
1086,Alicante,Spain,38.3452,-0.4815,18.0000,Europe/Madrid,1
1087,Belfast,United Kingdom,54.5968,-5.9254,7.0000,Europe/London,0
1088,Bilbao,Spain,43.2627,-2.9253,20.0000,Europe/Madrid,1
1089,Coventry,United Kingdom,52.4066,-1.5122,89.0000,Europe/London,0
1090,Nice,France,43.7031,7.2661,18.0000,Europe/Paris,1
1091,Lublin,Poland,51.2506,22.5701,184.0000,Europe/Warsaw,1
1092,Bielefeld,Germany,52.0333,8.5333,111.0000,Europe/Berlin,1
1093,Bydgoszcz,Poland,53.1235,18.0076,37.0000,Europe/Warsaw,1
1094,Plovdiv,Bulgaria,42.1539,24.7500,163.0000,Europe/Sofia,2
1095,Brent,United Kingdom,51.5531,-0.3023,44.0000,Europe/London,0
1096,Córdoba,Spain,37.8916,-4.7728,117.0000,Europe/Madrid,1
1097,Nantes,France,47.2172,-1.5534,19.0000,Europe/Paris,1
1098,Espoo,Finland,60.2052,24.6522,16.0000,Europe/Helsinki,2
1099,Nottingham,United Kingdom,52.9536,-1.1505,46.0000,Europe/London,0
1100,Varna,Bulgaria,43.2191,27.9102,83.0000,Europe/Sofia,2
1101,Marne La Vallée,France,48.8358,2.6424,96.0000,Europe/Paris,1
1102,Reading,United Kingdom,51.4562,-0.9711,51.0000,Europe/London,0
1103,Constanţa,Romania,44.1807,28.6343,40.0000,Europe/Bucharest,2
1104,Bari,Italy,41.1207,16.8698,7.0000,Europe/Rome,1
1105,Kingston upon Hull,United Kingdom,53.7446,-0.3352,8.0000,Europe/London,0
1106,Preston,United Kingdom,53.7628,-2.7045,34.0000,Europe/London,0
1107,Catania,Italy,37.4922,15.0704,40.0000,Europe/Rome,1
1108,Münster,Germany,51.9624,7.6257,64.0000,Europe/Berlin,1
1109,Mannheim,Germany,49.4891,8.4669,100.0000,Europe/Berlin,1
1110,Graz,Austria,47.0673,15.4420,362.0000,Europe/Vienna,1
1111,Hamburg-Mitte,Germany,53.5500,10.0167,8.0000,Europe/Berlin,1
1112,Augsburg,Germany,48.3715,10.8985,489.0000,Europe/Berlin,1
1113,South Dublin,Ireland,53.2903,-6.3415,80.0000,Europe/Dublin,0
1114,Valladolid,Spain,41.6554,-4.7235,702.0000,Europe/Madrid,1
1115,Swansea,United Kingdom,51.6208,-3.9432,18.0000,Europe/London,0
1116,Newcastle upon Tyne,United Kingdom,54.9733,-1.6140,54.0000,Europe/London,0
1117,Białystok,Poland,53.1333,23.1643,135.0000,Europe/Warsaw,1
1118,Southend-on-Sea,United Kingdom,51.5378,0.7143,31.0000,Europe/London,0
1119,Vigo,Spain,42.2328,-8.7226,86.0000,Europe/Madrid,1
1120,Sector 2,Romania,44.4528,26.1332,80.0000,Europe/Bucharest,2
1121,Kaunas,Lithuania,54.9016,23.9091,96.0000,Europe/Vilnius,2
1122,Wiesbaden,Germany,50.0860,8.2444,147.0000,Europe/Berlin,1
1123,Katowice,Poland,50.2597,19.0217,276.0000,Europe/Warsaw,1
1124,Cluj-Napoca,Romania,46.7667,23.6000,352.0000,Europe/Bucharest,2
1125,Århus,Denmark,56.1567,10.2108,10.0000,Europe/Copenhagen,1
1126,Brighton,United Kingdom,50.8284,-0.1395,29.0000,Europe/London,0
1127,Karlsruhe,Germany,49.0094,8.4044,118.0000,Europe/Berlin,1
1128,Ostrava,Czechia,49.8347,18.2820,211.0000,Europe/Prague,1
1129,Strasbourg,France,48.5839,7.7455,147.0000,Europe/Paris,1
1130,Ljubljana,Slovenia,46.0511,14.5051,295.0000,Europe/Ljubljana,1
1131,Gijón,Spain,43.5357,-5.6615,22.0000,Europe/Madrid,1
1132,Derby,United Kingdom,52.9228,-1.4766,55.0000,Europe/London,0
1133,Southampton,United Kingdom,50.9040,-1.4043,19.0000,Europe/London,0
1134,Bordeaux,France,44.8412,-0.5805,20.0000,Europe/Paris,1
1135,Aachen,Germany,50.7766,6.0834,178.0000,Europe/Berlin,1
1136,Gent,Belgium,51.0500,3.7167,10.0000,Europe/Brussels,1
1137,Wolverhampton,United Kingdom,52.5855,-2.1230,160.0000,Europe/London,0
1138,Mönchengladbach,Germany,51.1854,6.4417,57.0000,Europe/Berlin,1
1139,Tampere,Finland,61.4991,23.7871,114.0000,Europe/Helsinki,2
1140,Plymouth,United Kingdom,50.3715,-4.1430,14.0000,Europe/London,0
1141,Stoke-on-Trent,United Kingdom,53.0042,-2.1854,114.0000,Europe/London,0
1142,Verona,Italy,45.4385,10.9938,71.0000,Europe/Rome,1
1143,Gasteiz / Vitoria,Spain,42.8500,-2.6727,547.0000,Europe/Madrid,1
1144,L'Hospitalet de Llobregat,Spain,41.3597,2.1003,18.0000,Europe/Madrid,1
1145,Gdynia,Poland,54.5189,18.5319,14.0000,Europe/Warsaw,1
1146,Milton Keynes,United Kingdom,52.0417,-0.7558,114.0000,Europe/London,0
1147,Braşov,Romania,45.6486,25.6061,573.0000,Europe/Bucharest,2
1148,Vantaa,Finland,60.2941,25.0410,18.0000,Europe/Helsinki,2
1149,Porto,Portugal,41.1485,-8.6110,91.0000,Europe/Lisbon,0
1150,Kiel,Germany,54.3213,10.1349,7.0000,Europe/Berlin,1
1151,Timişoara,Romania,45.7537,21.2257,96.0000,Europe/Bucharest,2
1152,A Coruña,Spain,43.3713,-8.3960,22.0000,Europe/Madrid,1
1153,Montpellier,France,43.6109,3.8763,55.0000,Europe/Paris,1
1154,Częstochowa,Poland,50.7965,19.1241,253.0000,Europe/Warsaw,1
1155,Chemnitz,Germany,50.8357,12.9292,306.0000,Europe/Berlin,1
1156,Northampton,United Kingdom,52.2500,-0.8833,97.0000,Europe/London,0
1157,Groningen,The Netherlands,53.2192,6.5667,16.0000,Europe/Amsterdam,1
1158,Braunschweig,Germany,52.2659,10.5267,72.0000,Europe/Berlin,1
1159,Magdeburg,Germany,52.1313,11.6319,47.0000,Europe/Berlin,1
1160,Fuencarral,Spain,40.5000,-3.6833,723.0000,Europe/Madrid,1
1161,Lille,France,50.6339,3.0551,20.0000,Europe/Paris,1
1162,Krefeld,Germany,51.3364,6.5538,43.0000,Europe/Berlin,1
1163,Freiburg,Germany,47.9959,7.8522,279.0000,Europe/Berlin,1
1164,Oldham,United Kingdom,53.5405,-2.1183,204.0000,Europe/London,0
1165,Eindhoven,The Netherlands,51.4408,5.4778,22.0000,Europe/Amsterdam,1
1166,Elche,Spain,38.2622,-0.7011,81.0000,Europe/Madrid,1
1167,Craiova,Romania,44.3167,23.8000,105.0000,Europe/Bucharest,2
1168,Granada,Spain,37.1882,-3.6067,689.0000,Europe/Madrid,1
1169,Paris 15 Vaugirard,France,48.8412,2.3003,47.0000,Europe/Paris,1
1170,Bexley,United Kingdom,51.4416,0.1487,16.0000,Europe/London,0
1171,Rennes,France,48.1111,-1.6743,39.0000,Europe/Paris,1
1172,Sosnowiec,Poland,50.2868,19.1039,256.0000,Europe/Warsaw,1
1173,Radom,Poland,51.4025,21.1471,159.0000,Europe/Warsaw,1
1174,Sector 1,Romania,44.4924,26.0483,86.0000,Europe/Bucharest,2
1175,Luton,United Kingdom,51.8797,-0.4175,117.0000,Europe/London,0
1176,Košice,Slovakia,48.7144,21.2580,205.0000,Europe/Bratislava,1
1177,Cork,Ireland,51.8980,-8.4706,10.0000,Europe/Dublin,0
1178,Tilburg,The Netherlands,51.5555,5.0913,16.0000,Europe/Amsterdam,1
1179,Oviedo,Spain,43.3603,-5.8448,237.0000,Europe/Madrid,1
1180,Messina,Italy,38.1939,15.5526,29.0000,Europe/Rome,1
1181,Oberhausen,Germany,51.4781,6.8625,44.0000,Europe/Berlin,1
1182,Erfurt,Germany,50.9773,11.0354,194.0000,Europe/Berlin,1
1183,Terrassa,Spain,41.5667,2.0167,302.0000,Europe/Madrid,1
1184,Barking,United Kingdom,51.5333,0.0833,6.0000,Europe/London,0
1185,Galaţi,Romania,45.4369,28.0503,24.0000,Europe/Bucharest,2
1186,Oulu,Finland,65.0124,25.4682,15.0000,Europe/Helsinki,2
1187,Archway,United Kingdom,51.5673,-0.1341,67.0000,Europe/London,0
1188,Cartagena,Spain,37.6020,-0.9840,1.0000,Europe/Madrid,1
1189,Jerez de la Frontera,Spain,36.6865,-6.1361,53.0000,Europe/Madrid,1
1190,Târgu Mureş,Romania,46.5425,24.5575,319.0000,Europe/Bucharest,2
1191,Burgas,Bulgaria,42.5065,27.4689,36.0000,Europe/Sofia,2
1192,Pamplona,Spain,42.8169,-1.6432,455.0000,Europe/Madrid,1
1193,Portsmouth,United Kingdom,50.7990,-1.0913,6.0000,Europe/London,0
1194,Móstoles,Spain,40.3223,-3.8650,667.0000,Europe/Madrid,1
1195,Turku,Finland,60.4515,22.2687,22.0000,Europe/Helsinki,2
1196,Linz,Austria,48.3064,14.2861,268.0000,Europe/Vienna,1
1197,Trieste,Italy,45.6495,13.7768,19.0000,Europe/Rome,1
1198,Padua,Italy,45.4080,11.8859,18.0000,Europe/Rome,1
1199,Debrecen,Hungary,47.5317,21.6244,124.0000,Europe/Budapest,1
1200,Geneva,Switzerland,46.2022,6.1457,400.0000,Europe/Zurich,1
1201,Swindon,United Kingdom,51.5580,-1.7812,113.0000,Europe/London,0
1202,Nicosia,Cyprus,35.1728,33.3540,155.0000,Asia/Nicosia,2
1203,Brescia,Italy,45.5356,10.2147,146.0000,Europe/Rome,1
1204,Charleroi,Belgium,50.4114,4.4445,136.0000,Europe/Brussels,1
1205,Dudley,United Kingdom,52.5000,-2.0833,161.0000,Europe/London,0
1206,Gliwice,Poland,50.2976,18.6766,219.0000,Europe/Warsaw,1
1207,Aberdeen,United Kingdom,57.1437,-2.0981,13.0000,Europe/London,0
1208,Taranto,Italy,40.4644,17.2471,13.0000,Europe/Rome,1
1209,Rzeszów,Poland,50.0413,21.9990,209.0000,Europe/Warsaw,1
1210,Rostock,Germany,54.0887,12.1405,18.0000,Europe/Berlin,1
1211,Parma,Italy,44.7993,10.3262,64.0000,Europe/Rome,1
1212,Kassel,Germany,51.3167,9.5000,164.0000,Europe/Berlin,1
1213,Toruń,Poland,53.0138,18.5981,51.0000,Europe/Warsaw,1
1214,Almería,Spain,36.8381,-2.4597,21.0000,Europe/Madrid,1
1215,Reims,France,49.2653,4.0285,88.0000,Europe/Paris,1
1216,Liège,Belgium,50.6337,5.5675,66.0000,Europe/Brussels,1
1217,Alcalá de Henares,Spain,40.4821,-3.3600,597.0000,Europe/Madrid,1
1218,Braga,Portugal,41.5514,-8.4231,190.0000,Europe/Lisbon,0
1219,Kielce,Poland,50.8703,20.6275,267.0000,Europe/Warsaw,1
1220,Fuenlabrada,Spain,40.2842,-3.7942,671.0000,Europe/Madrid,1
1221,Sutton,United Kingdom,51.3500,-0.2000,83.0000,Europe/London,0
1222,Getafe,Spain,40.3057,-3.7330,636.0000,Europe/Madrid,1
1223,Donaustadt,Austria,48.2333,16.4600,155.0000,Europe/Vienna,1
1224,Le Havre,France,49.4935,0.1079,5.0000,Europe/Paris,1
1225,Donostia / San Sebastián,Spain,43.3128,-1.9750,17.0000,Europe/Madrid,1
1226,Paris 20 Ménilmontant,France,48.8646,2.3984,96.0000,Europe/Paris,1
1227,Modena,Italy,44.6478,10.9254,46.0000,Europe/Rome,1
1228,Breda,The Netherlands,51.5866,4.7760,9.0000,Europe/Amsterdam,1
1229,Cergy-Pontoise,France,49.0389,2.0781,54.0000,Europe/Paris,1
1230,St Helens,United Kingdom,53.4500,-2.7333,31.0000,Europe/London,0
1231,Oradea,Romania,47.0458,21.9183,123.0000,Europe/Bucharest,2
1232,Saarbrücken,Germany,49.2326,7.0098,195.0000,Europe/Berlin,1
1233,Reggio Calabria,Italy,38.1105,15.6613,110.0000,Europe/Rome,1
1234,Quarto Oggiaro,Italy,45.5131,9.1434,140.0000,Europe/Rome,1
1235,Paris 13 Gobelins,France,48.8322,2.3561,63.0000,Europe/Paris,1
1236,Odense,Denmark,55.3959,10.3883,17.0000,Europe/Copenhagen,1
1237,Ploieşti,Romania,44.9500,26.0167,161.0000,Europe/Bucharest,2
1238,Praga Południe,Poland,52.2442,21.0855,81.0000,Europe/Warsaw,1
1239,Hamm,Germany,51.6803,7.8209,66.0000,Europe/Berlin,1
1240,Amadora,Portugal,38.7538,-9.2308,138.0000,Europe/Lisbon,0
1241,Ipswich,United Kingdom,52.0592,1.1555,18.0000,Europe/London,0
1242,Basel,Switzerland,47.5584,7.5733,279.0000,Europe/Zurich,1
1243,Nijmegen,The Netherlands,51.8425,5.8528,25.0000,Europe/Amsterdam,1
1244,Uppsala,Sweden,59.8588,17.6389,20.0000,Europe/Stockholm,1
1245,Almere Stad,The Netherlands,52.3702,5.2141,-3.0000,Europe/Amsterdam,1
1246,Burgos,Spain,42.3411,-3.7018,863.0000,Europe/Madrid,1
