location_id,city,orig_lat,orig_lng,lat,lng,moved_km
1010,Barcelona,41.3888,2.159,41.3,2.1,11.03
1016,Copenhagen,55.6759,12.5655,55.7,12.4,10.71
1019,Dublin,53.3331,-6.2489,53.4,-6.2,8.12
1046,Genoa,44.4048,8.9444,44.5,8.9,11.16
1059,Edinburgh,55.9521,-3.1965,55.9,-3.2,5.8
1084,Malmö,55.6059,13.0007,55.6,13.1,6.27
1086,Alicante,38.3452,-0.4815,38.4,-0.5,6.3
1090,Nice,43.7031,7.2661,43.7,7.2,5.32
1103,Constanţa,44.1807,28.6343,44.1,28.6,9.38
1115,Swansea,51.6208,-3.9432,51.6,-4.0,4.55
1126,Brighton,50.8284,-0.1395,50.9,-0.1,8.43
1145,Gdynia,54.5189,18.5319,54.5,18.4,8.77
1152,A Coruña,43.3713,-8.396,43.3,-8.4,7.93
1191,Burgas,42.5065,27.4689,42.5,27.4,5.69
1193,Portsmouth,50.799,-1.0913,50.9,-1.1,11.25
1214,Almería,36.8381,-2.4597,36.9,-2.5,7.76
1224,Le Havre,49.4935,0.1079,49.5,0.2,6.69
1245,Almere Stad,52.3702,5.2141,52.4,5.3,6.71
1249,Santander,43.4659,-3.8049,43.4,-3.8,7.34
1253,Klaipėda,55.7068,21.1391,55.7,21.2,3.89
1270,Piraeus,37.942,23.6462,37.9,23.5,13.65
1273,Haarlem,52.3808,4.6368,52.4,4.7,4.79
1286,Livorno,43.5443,10.3262,43.6,10.3,6.54
1300,Split,43.5089,16.4392,43.6,16.4,10.61
1302,Cagliari,39.2305,9.1192,39.3,9.1,7.9
1304,Rimini,44.0575,12.5653,44.0,12.6,6.97
1314,Blackpool,53.8167,-3.05,53.8,-3.0,3.77
1369,Saint Peters,51.3667,1.4167,51.3,1.3,10.99
1380,Siracusa,37.0754,15.2866,37.1,15.2,8.15
1398,Setúbal,38.5244,-8.8882,38.6,-8.9,8.47
1401,Cadiz,36.5267,-6.2891,36.6,-6.1,18.75
1426,Rijeka,45.3267,14.4424,45.4,14.4,8.8
1435,Helsingborg,56.0467,12.6944,56.1,12.7,5.94
1472,San Fernando,36.4759,-6.1982,36.5,-6.1,9.18
