location_id,wban,isd_ids,lon,dist_km,elev_m
0,94728,72505394728|72506094728|72503394728|99999994728,-73.969,8.0,27.0
1,03167,72295603167|72295699999,-118.333,16.6,19.0
2,14819,72534014819|99999914819,-87.755,14.4,188.0
3,12918,72244012918|72243512918|72243599999|99999912918,-95.282,16.0,14.0
4,13739,72408013739|99999913739,-75.227,10.3,2.0
5,23183,72278023183|99999923183,-112.004,6.0,337.0
6,12970,72252312970|72252399999,-98.472,9.5,210.0
7,23188,72290023188|99999923188,-117.183,3.0,9.0
8,13960,72258013960|72258313960|72258113960,-96.836,9.3,148.0
9,23293,72494523293|99999923293,-121.924,4.1,17.0
10,13958,72254413958|72254013958|99999913958,-97.76,6.2,203.0
11,53842,72438453842|72438499999,-86.296,13.4,248.0
12,93837,72206593837|99999993837,-81.667,11.0,7.0
13,23230,72493023230|72493099999|99999923230,-122.233,17.5,2.0
14,14821,72428014821|99999914821,-82.877,10.6,247.0
15,13881,72314013881|99999913881,-80.954,10.1,228.0
16,13961,74739013961|72259613961,-97.364,7.8,216.0
17,14822,72537514822|99999914822,-83.009,9.2,190.0
18,23044,72270023044|99999923044,-106.377,7.3,1194.0
19,13893,72334013893|99999913893,-89.986,11.5,87.0
20,24234,72793524234|72793599999|99999924234,-122.315,8.8,5.0
21,03017,72565003017|72467003017,-104.656,30.3,1656.0
22,13743,72405013743|99999913743,-77.035,6.7,20.0
23,14739,72509014739,-71.01,4.1,9.0
24,13897,72327013897|99999913897,-86.688,9.7,180.0
25,93721,72406093721|99999993721,-76.684,14.4,42.0
26,03954,72354403954|72354499999,-97.647,14.0,396.0
27,13810,72423513810|72423599999,-85.663,8.7,167.0
28,24229,72698024229|99999924229,-122.609,9.6,12.0
29,53123,72484653123|72484699999,-115.194,6.6,667.0
30,14839,72640014839|99999914839,-87.905,10.2,204.0
31,23050,72365023050|99999923050,-106.615,4.9,1620.0
32,23160,72274023160|99999923160,-110.956,7.4,824.0
33,93193,72389093193|99999993193,-119.72,4.5,95.9209
34,23232,72483023232|99999923232,-121.496,8.4,8.0
35,23129,72297023129,-118.147,6.3,12.0
36,13988,72446313988|72446113988|72446399999|99999913988,-94.589,2.8,227.0
37,23183,72278023183|99999923183,-112.004,16.9,337.0
38,13769,72307513769|99999913769,-76.033,6.1,7.0
39,03888,72219503888|72219599999,-84.525,12.7,256.0
40,93037,72466093037|99999993037,-104.689,10.9,1881.0
