location_id,icao,lcd_id,dist_km,elev_m
0,NYC,USW00094728,8.0,27.0
1,HHR,USW00003167,16.6,19.0
2,MDW,USW00014819,14.4,188.0
3,HOU,USW00012918,16.0,14.0
4,PHL,USW00013739,10.3,2.0
5,PHX,USW00023183,6.0,337.0
6,SKF,USW00012970,9.5,210.0
7,SAN,USW00023188,3.0,9.0
8,DAL,USW00013960,9.3,148.0
9,SJC,USW00023293,4.1,17.0
10,ATT,USW00013958,6.2,203.0
11,EYE,USW00053842,13.4,248.0
12,NIP,USW00093837,11.0,7.0
13,OAK,USW00023230,17.5,2.0
14,CMH,USW00014821,10.6,247.0
15,CLT,USW00013881,10.1,228.0
16,FTW,USW00013961,7.8,216.0
17,DET,USW00014822,9.2,190.0
18,ELP,USW00023044,7.3,1194.0
19,MEM,USW00013893,11.5,87.0
20,BFI,USW00024234,8.8,5.0
21,DEN,USW00003017,30.3,1656.0
22,DCA,USW00013743,6.7,20.0
23,BOS,USW00014739,4.1,9.0
24,BNA,USW00013897,9.7,180.0
25,BWI,USW00093721,14.4,42.0
26,PWA,USW00003954,14.0,396.0
27,LOU,USW00013810,8.7,167.0
28,PDX,USW00024229,9.6,12.0
29,VGT,USW00053123,6.6,667.0
30,MKE,USW00014839,10.2,204.0
31,ABQ,USW00023050,4.9,1620.0
32,DMA,USW00023160,7.4,824.0
33,FCH,USW00093193,4.5,95.9209
34,SAC,USW00023232,8.4,8.0
35,LGB,USW00023129,6.3,12.0
36,MKC,USW00013988,2.8,227.0
37,PHX,USW00023183,16.9,337.0
38,NTU,USW00013769,6.1,7.0
39,FTY,USW00003888,12.7,256.0
40,COS,USW00093037,10.9,1881.0
41,OMA,USW00014942,10.5,295.66733
42,RDU,USW00013722,18.0,117.95659
43,MIA,USW00012839,12.8,4.0
44,OAK,USW00023230,10.2,2.0
45,MSP,USW00014922,10.6,265.0
46,TUL,USW00013968,10.6,206.0
47,BKL,USW00004853,2.2,178.0
48,ICT,USW00003928,9.3,408.0
49,GPM,USW00053907,7.1,180.0
50,NBG,USW00012958,14.4,-6.0
51,BFL,USW00023155,7.5,150.0
52,TPA,USW00012842,8.3,3.0
53,DEN,USW00003017,18.9,1656.0
54,FUL,USW00003166,7.2,29.0
55,SNA,USW00093184,7.8,16.0
56,CPS,USW00003960,7.3,126.0
57,RAL,USW00003171,4.5,249.0
58,NGP,USW00012926,15.9,6.0
59,LEX,USW00093820,8.9,301.0
60,AGC,USW00014762,11.5,382.0
61,SCK,USW00023237,8.5,8.0
62,LUK,USW00093812,8.1,155.0
63,MSP,USW00014922,13.5,265.0
64,TDZ,USW00004848,13.0,189.0
65,GSO,USW00013723,13.9,270.0
66,EWR,USW00014734,5.9,2.0
67,TKI,USW00053914,20.5,179.0
68,LAS,USW00023169,16.7,663.0
69,LNK,USW00014939,6.6,352.0
70,BUF,USW00014733,13.1,215.0
71,NRS,USW00093115,8.9,7.0
72,FWA,USW00014827,11.9,248.0
73,ORL,USW00012841,4.6,34.0
74,SPG,USW00092806,1.6,1.0
75,PHX,USW00023183,21.3,337.0
76,COT,USW00012947,106.1,144.0
77,NGU,USW00013750,9.6,5.0
78,RDU,USW00013722,15.5,117.95659
79,MSN,USW00014837,8.8,261.0
80,LBB,USW00023042,10.0,988.0
81,INT,USW00093807,4.2,296.0
82,PHX,USW00023183,19.9,337.0
83,RNO,USW00023185,6.3,1345.0
84,BTR,USW00013970,8.8,21.0
85,VGT,USW00053123,6.9,667.0
86,NUQ,USW00023244,16.7,12.0
87,BOI,USW00024131,6.2,874.0
88,RIC,USW00013740,10.5,54.0
89,RAL,USW00003171,22.5,249.0
90,BHM,USW00013876,7.2,192.0
91,SFF,USW00094176,8.2,595.0
92,ROC,USW00014768,7.3,169.0
93,DSM,USW00014933,8.3,294.0
94,MOD,USW00023258,4.0,30.0
95,FAY,USW00093740,6.9,56.0
96,TIW,USW00094274,10.1,89.0
97,OXR,USW00093110,2.8,13.0
98,CSG,USW00093842,7.5,121.0
99,MXF,USW00013895,6.4,51.0
100,DTN,USW00053905,1.8,55.0
101,ARR,USW00004808,13.3,215.0
102,LGA,USW00014732,16.9,9.0
103,AKR,USW00014813,6.5,325.0
104,LIT,USW00013963,5.4,79.0
105,AGS,USW00003820,12.2,45.0
106,AMA,USW00023047,11.4,1099.0
107,BUR,USW00023152,11.5,236.0
108,MOB,USW00013894,19.7,67.0
109,BIV,USW00004839,42.5,208.0
110,SLC,USW00024127,7.0,1288.0
111,VLD,USW00093845,103.5,62.0
112,HSV,USW00003856,20.6,196.0
113,TYS,USW00013891,16.9,299.0
114,FIT,USW00004780,32.3,106.0
115,PHF,USW00093741,5.3,13.0
116,BRO,USW00012919,7.5,6.0
117,OJC,USW00003967,15.8,334.0
118,WHP,USW00023152,19.0,306.0
119,PVD,USW00014765,11.5,19.0
120,CHA,USW00013882,9.7,210.0
121,OKB,USW00053121,3.8,9.0
122,JAN,USW00003940,10.1,101.0
123,FLL,USW00012849,5.4,1.0
124,STS,USW00023213,11.0,31.346924
125,FPR,USW00012895,25.1,7.0
126,CNO,USW00003179,9.8,198.0
127,VUO,USW00094298,2.1,8.0
128,FMY,USW00012835,9.1,5.0
129,YKN,USW00094911,87.7,389.5385
130,SGF,USW00013995,9.3,390.0
131,SAC,USW00023232,15.3,8.0
132,SLE,USW00024232,4.5,61.0
133,WJF,USW00003159,8.4,715.0
134,EUG,USW00024221,12.8,114.0
135,WJF,USW00003159,20.3,715.0
136,SNS,USW00023233,4.5,16.144438
137,CEF,USW00014775,11.3,75.0
138,CYS,USW00024018,67.5,1871.0
139,HWD,USW00093228,3.7,8.88734
140,RFD,USW00094822,8.9,220.0
141,DCA,USW00013743,4.8,20.0
142,CRQ,USW00003177,18.1,100.0
143,TKI,USW00053914,5.0,179.0
144,MDW,USW00014819,39.9,188.0
145,BDR,USW00094702,6.4,5.0
146,CDW,USW00054743,10.4,53.0
147,SYR,USW00014771,7.8,124.0
148,DAL,USW00013960,25.2,148.0
149,DAY,USW00093815,16.5,305.0
150,SVN,USW00003822,9.3,13.0
151,BNA,USW00013897,75.4,180.0
152,,,,
153,NGU,USW00013750,11.4,5.0
154,MFE,USW00012959,3.1,33.0
155,DET,USW00014822,11.7,190.0
156,CAE,USW00013883,10.1,69.0
157,HVN,USW00014758,6.0,4.0
158,ACT,USW00013959,10.9,155.0
159,NTD,USW00093111,26.6,2.0
160,CID,USW00014990,11.6,265.0
161,CHS,USW00013880,17.0,10.024509
162,HJO,USW00053119,29.7,76.36669
163,TOP,USW00013996,6.2,270.0
164,GNV,USW00012816,6.5,46.0
165,SMF,USW00093225,27.0,7.0
166,DAL,USW00013960,14.8,148.0
167,FXE,USW00012885,12.8,4.0
168,HPN,USW00094745,14.2,134.0
169,CCR,USW00023254,2.4,4.874773
170,BDL,USW00014740,19.4,55.0
171,LFT,USW00013976,4.1,14.588288
172,MAF,USW00023023,13.4,868.9406
173,PHX,USW00023183,39.5,337.0
174,DTO,USW00003991,6.4,200.71758
175,DAG,USW00023161,58.3,587.0
176,EVV,USW00093817,9.2,117.0
177,ABI,USW00013962,6.4,544.9975
178,AHN,USW00013873,2.9,247.0
179,APC,USW00093227,11.7,7.9653864
180,ABE,USW00014737,5.9,117.0
181,PWA,USW00003954,39.4,396.0
182,BPT,USW00012917,17.2,4.5784636
183,BNA,USW00013897,40.6,180.0
184,YIP,USW00014853,18.1,215.0
185,SPI,USW00093822,7.5,181.0
186,PIA,USW00014842,8.5,205.0
187,SLC,USW00024127,66.2,1288.0
188,FUL,USW00003166,22.6,29.0
189,COU,USW00003945,18.1,271.0
190,LAN,USW00014836,5.6,264.0
191,FAR,USW00014914,5.6,274.0
192,ILM,USW00013748,6.4,10.0
193,OKB,USW00053121,6.9,9.0
194,,,,
195,MAF,USW00023023,18.8,868.9406
196,MHT,USW00014710,7.2,71.0
197,DPA,USW00094892,14.4,231.0
198,SLC,USW00024127,19.1,1288.0
199,ATT,USW00013958,22.2,203.0
200,PIE,USW00012873,12.7,3.0
201,HVN,USW00014758,35.5,4.0
202,TTD,USW00024242,5.9,-0.15002128
203,APC,USW00093227,21.5,7.9653864
204,BIL,USW00024033,4.2,1088.0
205,BED,USW00014702,18.3,41.0
206,PUB,USW00093058,10.5,1439.0
207,GSO,USW00013723,16.7,270.0
208,NFG,USW00053121,31.0,24.0
209,CCR,USW00023254,21.7,4.874773
210,DEN,USW00003017,33.7,1656.0
211,PAE,USW00024222,10.0,185.0
212,SPS,USW00013966,7.2,314.0
213,MLB,USW00012838,9.4,11.0
214,,,,
215,PMP,USW00092805,1.7,7.0
216,RVS,USW00053908,17.0,193.0
217,DEN,USW00003017,56.1,1656.0
218,DJT,USW00012844,5.7,6.0
219,SMX,USW00023273,6.0,73.0
220,MLI,USW00014923,10.2,181.0
221,BIF,USW00023044,63.6,1203.0
222,SFO,USW00023234,7.6,5.0
223,SBN,USW00014848,6.4,237.0
224,TPA,USW00012842,58.6,3.0
225,ERI,USW00014860,9.5,225.0
226,TYR,USW00013972,9.5,166.0
227,HOU,USW00012918,8.2,14.0
228,CLL,USW00003904,5.3,98.0
229,ENW,USW00004845,9.7,219.0
230,PDK,USW00053863,8.9,305.0
231,FNT,USW00014826,7.2,233.0
232,ROA,USW00013741,5.9,344.71243
233,AQW,USW00054768,48.1,476.0
234,DYS,USW00013962,119.7,545.0
235,VUO,USW00094298,28.1,8.0
236,LAW,USW00003950,4.5,338.0
237,DEN,USW00003017,65.8,1656.0
238,SNA,USW00093184,20.0,16.0
239,DTW,USW00094847,16.3,195.0
240,EET,USW00053864,73.3,172.0
241,EWB,USW00094726,4.9,24.0
242,OWD,USW00054704,17.6,15.0
243,YKM,USW00024243,4.8,325.0
244,SEA,USW00024233,13.6,137.0
245,SMO,USW00093197,4.1,53.0
246,ABQ,USW00023050,21.7,1620.0
247,NYL,USW00003145,4.5,65.0
248,BOS,USW00014739,12.8,9.0
249,RDD,USW00024257,12.0,153.0
250,SFF,USW00094176,6.4,595.0
251,HOU,USW00012918,23.2,14.0
252,LWC,USW00003997,4.5,253.47006
253,SBA,USW00023190,13.4,3.0
254,SLC,USW00024127,26.3,1288.0
255,MCN,USW00003813,16.6,110.0
256,DEN,USW00003017,53.1,1656.0
257,RWI,USW00093759,54.6,48.0
258,UGN,USW00014880,7.0,216.0
259,EWB,USW00094726,16.6,24.0
260,OVE,USW00093210,32.3,58.0
261,BED,USW00014702,16.2,41.0
262,RDG,USW00014712,5.7,105.0
263,FSM,USW00013964,6.2,141.0
264,SNA,USW00093184,8.5,16.0
265,AVL,USW00003812,18.2,661.0
266,MHT,USW00014710,18.8,71.0
267,PWA,USW00003954,20.2,396.0
268,BOI,USW00024131,26.1,874.0
269,MSP,USW00014922,7.2,265.0
270,SFB,USW00012854,13.6,17.0
271,DLH,USW00014913,9.4,435.0
272,EYE,USW00053842,22.8,248.0
273,NGU,USW00013750,35.1,5.0
274,HWD,USW00093228,31.2,8.88734
275,SCK,USW00023237,23.7,8.0
276,BFI,USW00024234,18.1,5.0
277,TTN,USW00014792,9.1,65.0
278,OGD,USW00024126,4.5,1362.0
279,MDW,USW00014819,6.7,188.0
280,SGR,USW00012977,2.1,2.0
281,DXR,USW00054734,3.5,139.0
282,TRM,USW00003104,11.7,-37.0
283,CLT,USW00013881,39.8,228.0
284,RAL,USW00003171,37.2,249.0
285,DEC,USW00003887,61.6,207.0
286,PTK,USW00094817,23.1,299.0
287,SUS,USW00003966,17.5,141.0
288,BLI,USW00024217,6.5,48.0
289,DTW,USW00094847,11.9,195.0
290,BMG,USW00003893,8.1,257.0
291,SUX,USW00014943,12.2,336.0
292,PSP,USW00093138,43.9,141.0
293,GGG,USW00003901,13.3,124.0
294,RDM,USW00024230,25.5,938.0
295,MAE,USW00093242,48.3,76.45073
296,LGA,USW00014732,16.8,9.0
297,APC,USW00093227,10.1,7.9653864
298,MDW,USW00014819,30.8,188.0
299,FYV,USW00093993,6.5,381.0
300,PIA,USW00014842,61.7,205.0
301,DAB,USW00012834,47.2,11.0
302,VPZ,USW00004846,32.2,231.0
303,RAC,USW00094818,4.6,203.0
304,LYH,USW00013733,11.8,286.0
305,MFR,USW00024225,6.0,405.0
306,STJ,USW00013993,5.4,247.0
307,PHL,USW00013739,10.8,2.0
308,CDC,USW00093129,78.8,1714.0
309,PSC,USW00024163,6.1,124.0
310,ABY,USW00013869,6.1,59.0
311,ORD,USW00094846,14.8,205.0
312,AVP,USW00014777,9.8,290.0
313,AZO,USW00094815,7.0,272.0
314,HOU,USW00012918,31.5,14.0
315,FYV,USW00093993,20.6,381.0
316,ABE,USW00014737,7.2,117.0
317,CHS,USW00013880,21.2,10.024509
318,DEC,USW00003887,7.6,207.0
319,CWF,USW00003937,7.3,4.0
320,FCM,USW00094963,20.6,270.76904
321,DPA,USW00094892,27.6,231.0
322,OSH,USW00094855,32.9,248.0
323,CLT,USW00013881,21.6,228.0
324,PTK,USW00094817,22.1,299.0
325,CAK,USW00014895,14.1,374.0
326,MCN,USW00003813,9.2,110.0
327,SCK,USW00023237,11.0,8.0
328,IOW,USW00014937,2.7,204.0
329,JBR,USW00003953,5.4,79.0
330,ILG,USW00013781,9.0,24.0
331,PVD,USW00014765,17.9,19.0
332,DJT,USW00012844,17.0,6.0
333,MKE,USW00014839,28.1,204.0
334,ASD,USW00053865,70.0,8.0
335,RCA,USW00024090,12.4,977.4339
336,OGD,USW00024126,15.5,1362.0
337,LAF,USW00014835,4.9,182.0
338,MOD,USW00023258,17.4,30.0
339,MIE,USW00094895,5.6,285.0
340,,,,
341,SGR,USW00012977,11.5,2.0
342,LVS,USW00023054,72.0,2095.0
343,MSO,USW00024153,8.6,972.0
344,CLT,USW00013881,33.7,228.0
345,NCA,USW00093727,5.1,8.0
346,BNA,USW00013897,27.0,180.0
347,FLG,USW00003103,6.7,2137.0
348,HWO,USW00092809,19.4,3.0
349,ALO,USW00094910,8.3,268.0
350,FMY,USW00012835,6.3,5.0
351,DHN,USW00013839,12.2,122.0
352,HHR,USW00003167,9.5,19.0
353,MKL,USW00003811,9.6,132.0
354,PSC,USW00024163,3.1,124.0
355,STL,USW00013994,11.4,171.0
356,EAU,USW00014991,6.2,270.0
357,N60,USW00094041,105.5,587.0
358,MSY,USW00012916,0.9,9.0
359,MRB,USW00013734,49.3,170.0
360,OSH,USW00094855,4.7,248.0
361,PWM,USW00014764,4.5,19.0
362,STC,USW00014926,8.9,314.0
363,SMF,USW00093225,21.2,7.0
364,NTD,USW00093111,13.1,2.0
365,AQW,USW00054768,64.2,476.0
366,IAD,USW00093738,31.4,98.0
367,HRL,USW00012904,5.9,11.0
368,MYV,USW00093205,5.9,16.997013
369,YNG,USW00014852,17.3,360.0
370,MCO,USW00012815,18.1,32.0
371,TRI,USW00013877,18.7,463.0
372,VCT,USW00012912,9.5,36.0
373,NFG,USW00053121,27.7,24.0
374,TMB,USW00012888,19.8,3.0
375,DCA,USW00013743,28.3,20.0
376,RFD,USW00094822,54.9,220.0
