location_id,center_lat,center_lng,offset_km,matched
0,40.7143,-74.006,8.07,True
1,34.0522,-118.2437,15.83,True
2,43.7064,-79.3986,1.79,True
3,41.85,-87.65,3.23,True
4,29.7633,-95.3633,3.51,True
5,45.5088,-73.5878,10.54,True
6,33.4484,-112.074,13.85,True
7,39.9524,-75.1636,6.85,True
8,29.4241,-98.4936,5.24,True
9,32.7157,-117.1647,13.39,True
10,32.7831,-96.8067,3.92,True
11,51.0501,-114.0853,2.87,True
12,32.7254,-97.3208,6.81,True
13,30.3322,-81.6556,0.78,True
14,45.4112,-75.6981,25.12,True
15,53.5501,-113.4687,4.05,True
16,30.2672,-97.7431,3.65,True
17,37.3394,-121.895,8.59,True
18,35.2271,-80.8431,2.29,True
19,39.9612,-82.9988,2.93,True
20,39.7684,-86.158,1.39,True
21,37.7749,-122.4194,54.14,True
22,47.6062,-122.3321,2.06,True
23,49.8844,-97.147,2.39,True
24,39.7392,-104.9847,9.21,True
25,36.1659,-86.7844,0.66,True
26,35.4676,-97.5164,0.25,True
27,43.5789,-79.6583,1.76,True
28,38.8951,-77.0364,1.99,True
29,31.7587,-106.4869,11.22,True
30,36.175,-115.1372,13.11,True
31,42.3584,-71.0598,4.06,True
32,49.2497,-123.1193,0.78,True
33,43.6834,-79.7663,3.67,True
34,42.3314,-83.0457,7.38,True
35,38.2542,-85.7594,13.91,True
36,45.5234,-122.6762,2.54,True
37,35.1495,-90.049,8.58,True
38,39.2904,-76.6122,1.08,True
39,43.2501,-79.8496,8.85,True
40,49.1063,-122.8251,2.05,True
41,43.0389,-87.9065,5.6,True
42,35.0845,-106.6511,2.29,True
43,36.7477,-119.7724,4.32,True
44,46.8123,-71.2145,4.6,True
45,32.2217,-110.9265,9.27,True
46,38.5816,-121.4944,2.75,True
47,33.749,-84.388,3.56,True
48,39.0997,-94.5786,3.74,True
49,33.4223,-111.8226,10.22,True
50,35.7721,-78.6386,6.65,True
51,38.8339,-104.8214,6.43,True
52,25.7743,-80.1937,1.5,True
53,41.2563,-95.9404,9.48,True
54,36.8529,-75.978,9.35,True
55,33.767,-118.1892,2.48,True
56,37.8044,-122.2708,5.52,True
57,44.6427,-63.5769,38.38,True
58,45.5699,-73.692,4.69,True
59,44.98,-93.2638,1.89,True
60,42.9834,-81.233,3.38,True
61,35.3733,-119.0187,2.83,True
62,36.154,-95.9928,8.63,True
63,27.9475,-82.4584,3.27,True
64,39.7294,-104.8319,9.78,True
65,32.7357,-97.1081,4.19,True
66,37.6922,-97.3375,0.75,True
67,41.4995,-81.6954,2.69,True
68,29.9547,-90.0751,17.43,True
69,36.0397,-114.9819,5.28,True
70,33.8353,-117.9145,14.56,True
71,43.8668,-79.2663,2.83,True
72,28.5383,-81.3792,9.29,True
73,37.9887,-84.4777,6.03,True
74,37.9577,-121.2908,2.62,True
75,40.7357,-74.1724,1.27,True
76,43.8361,-79.4983,5.21,True
77,33.9534,-117.3962,1.72,True
78,33.6695,-117.8231,4.9,True
79,27.8006,-97.3964,22.53,True
80,33.7456,-117.8678,1.73,True
81,39.1271,-84.5144,1.63,True
82,36.0726,-79.792,3.77,True
83,40.4406,-79.9959,1.71,True
84,44.9444,-93.0933,0.99,True
85,35.994,-78.8986,1.79,True
86,40.7282,-74.0776,2.16,True
87,40.8,-96.667,1.33,True
88,36.1989,-115.1175,10.44,True
89,33.0198,-96.6989,5.72,True
90,45.4772,-75.7016,6.67,True
91,33.3528,-111.789,6.37,True
92,43.0731,-89.4012,2.85,True
93,39.5296,-119.8138,3.78,True
94,33.3062,-111.8413,2.78,True
95,38.6273,-90.1979,4.16,True
96,32.6401,-117.0842,6.61,True
97,41.1306,-85.1289,4.86,True
98,42.8865,-78.8784,1.66,True
99,33.5779,-101.8552,3.59,True
100,27.5064,-99.5075,6.27,True
101,27.2939,-80.3503,4.03,True
102,52.1324,-106.6689,2.13,True
103,27.7709,-82.6793,3.58,True
104,41.6639,-83.5552,2.22,True
105,33.5386,-112.186,0.72,True
106,36.0999,-80.2442,1.53,True
107,32.814,-96.9489,5.24,True
108,43.4254,-80.5112,3.31,True
109,36.819,-76.2749,15.71,True
110,45.5152,-73.4682,2.45,True
111,32.9126,-96.6389,0.86,True
112,49.2664,-122.9526,2.37,True
113,33.5092,-111.899,19.78,True
114,43.6135,-116.2035,2.84,True
115,37.5538,-77.4603,2.85,True
116,33.1507,-96.8236,0.53,True
117,26.5629,-81.9495,10.12,True
118,33.1976,-96.6153,4.57,True
119,34.7304,-86.5859,9.06,True
120,36.8468,-76.2852,9.21,True
121,25.8576,-80.2781,2.83,True
122,47.6597,-117.4291,0.86,True
123,47.2529,-122.4443,1.17,True
124,42.3001,-83.0165,2.74,True
125,34.3917,-118.5426,4.73,True
126,37.5483,-121.9886,7.3,True
127,50.4501,-104.6178,0.95,True
128,30.4433,-91.1875,5.42,True
129,34.1083,-117.2898,3.67,True
130,34.0922,-117.4351,3.22,True
131,37.6391,-120.9969,0.57,True
132,40.7608,-111.8911,3.81,True
133,33.9375,-117.2306,2.79,True
134,42.2626,-71.8023,0.89,True
135,43.4501,-79.6829,3.38,True
136,43.5437,-96.728,0.47,True
137,40.9304,-73.8979,3.09,True
138,41.6005,-93.6091,3.11,True
139,49.17,-123.1368,2.24,True
140,32.746,-96.9978,7.76,True
141,35.0527,-78.8784,9.28,True
142,34.7465,-92.2896,6.73,True
143,43.1548,-77.6156,1.68,True
144,35.222,-101.8313,2.46,True
145,30.4383,-84.2807,3.21,True
146,38.9822,-94.6708,10.51,True
147,32.461,-84.9877,11.91,True
148,43.8711,-79.4373,3.41,True
149,35.9606,-83.9207,2.8,True
150,33.471,-81.9748,14.87,True
151,42.9634,-85.6681,1.04,True
152,33.5806,-112.2374,23.78,True
153,30.6944,-88.043,6.85,True
154,45.6387,-122.6615,5.05,True
155,34.1975,-119.177,2.81,True
156,33.5207,-86.8025,0.89,True
157,41.824,-71.4128,0.5,True
158,32.3668,-86.3,3.68,True
159,35.0456,-85.3097,6.02,True
160,25.9017,-97.4975,9.89,True
161,33.6603,-117.9992,4.21,True
162,33.4148,-111.9093,3.6,True
163,41.0814,-81.519,0.23,True
164,36.5298,-87.3594,4.27,True
165,26.1223,-80.1434,2.13,True
166,34.1425,-118.2551,4.41,True
167,34.0633,-117.6509,5.07,True
168,43.3862,-79.8371,1.23,True
169,38.4088,-121.3716,1.33,True
170,35.7915,-78.7811,3.98,True
171,36.9804,-76.4297,13.43,True
172,44.9429,-123.0351,2.32,True
173,41.7606,-88.3201,2.51,True
174,38.4405,-122.7144,0.93,True
175,44.0521,-123.0867,2.63,True
176,34.1064,-117.5931,3.64,True
177,26.0032,-80.2239,11.69,True
178,32.5251,-93.7502,7.58,True
179,43.9001,-78.8496,4.33,True
