location_id,eccc_station_id,station_name,candidate_rank,lon,dist_km,elev_m,elevation_difference_m,start_year,end_year,utc_offset_hours
2,31688,TORONTO CITY,1,-79.4,6.15,112.5,61.5,2002,2026,-5.0
2,48549,TORONTO CITY CENTRE,2,-79.39611,10.47,76.8,97.2,2009,2026,-5.0
2,51459,TORONTO INTL A,3,-79.63056,19.87,173.4,0.6,2013,2026,-5.0
2,5097,TORONTO LESTER B. PEARSON INT'L A,4,-79.63056,19.86,173.4,0.6,1953,2013,-5.0
2,5085,TORONTO ISLAND A,5,-79.395,10.34,76.5,97.5,1957,2006,-5.0
5,51157,MONTREAL INTL A,1,-73.74083,4.34,36.0,9.0,2013,2026,-5.0
5,30165,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,2,-73.74167,4.66,32.1,5.1,2008,2026,-5.0
5,48374,MONTREAL/ST-HUBERT,3,-73.41694,23.88,27.4,0.4,2009,2026,-5.0
5,5415,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,4,-73.75,5.01,36.0,9.0,1953,2013,-5.0
5,5490,MONTREAL/ST-HUBERT A,5,-73.41667,23.9,27.4,0.4,1953,2005,-5.0
11,27211,CALGARY INT'L CS,1,-114.0003,9.13,1081.9,29.9,2008,2026,-7.0
11,50430,CALGARY INTL A,2,-114.01333,10.19,1099.1,47.1,2012,2026,-7.0
11,42725,STRATHMORE AGDM,3,-113.28333,53.81,967.0,85.0,2004,2024,-7.0
11,2205,CALGARY INT'L A,4,-114.02028,9.14,1084.1,32.1,1953,2012,-7.0
14,49568,OTTAWA INTL A,1,-75.66667,18.44,114.9,8.1,2011,2026,-5.0
14,30578,OTTAWA CDA RCS,2,-75.71667,21.71,79.2,43.8,2000,2026,-5.0
14,50719,OTTAWA GATINEAU A,3,-75.56361,41.05,64.3,58.7,2012,2026,-5.0
14,4337,OTTAWA MACDONALD-CARTIER INT'L A,4,-75.66917,18.71,114.0,9.0,1953,2011,-5.0
14,8375,GATINEAU A,5,-75.56667,40.45,64.3,58.7,1981,2012,-5.0
15,27214,EDMONTON BLATCHFORD,1,-113.51667,6.02,671.0,7.0,1999,2026,-7.0
15,1868,EDMONTON NAMAO A,2,-113.46667,16.52,687.9,23.9,1955,2026,-7.0
15,50149,EDMONTON INTL A,3,-113.57944,23.86,723.3,59.3,2012,2026,-7.0
15,1867,EDMONTON CITY CENTRE A,4,-113.51833,6.07,670.6,6.6,1953,2005,-7.0
15,1865,EDMONTON INT'L A,5,-113.58333,23.2,723.3,59.3,1961,2012,-7.0
23,28051,WINNIPEG THE FORKS,1,-97.12945,3.35,230.0,15.0,1999,2026,-6.0
23,51097,WINNIPEG INTL A,2,-97.24,7.88,238.7,6.3,2013,2026,-6.0
23,27174,WINNIPEG A CS,3,-97.24944,8.88,238.7,6.3,2013,2026,-6.0
23,3698,WINNIPEG RICHARDSON INT'L A,4,-97.23333,8.05,238.7,6.3,1953,2013,-6.0
23,47407,WINNIPEG RICHARDSON AWOS,5,-97.23333,8.05,238.7,6.3,2008,2013,-6.0
31,888,VANCOUVER HARBOUR CS,1,-123.12187,4.63,2.5,67.5,1976,2026,-8.0
31,51442,VANCOUVER INTL A,2,-123.18389,8.47,4.3,65.7,2013,2026,-8.0
31,51357,VANCOUVER SEA ISLAND CCG,3,-123.18724,9.71,2.1,67.9,2013,2026,-8.0
31,889,VANCOUVER INT'L A,4,-123.18194,8.36,4.3,65.7,1953,2013,-8.0
31,192,NANAIMO A,5,-123.87,59.49,28.0,42.0,1954,2013,-8.0
37,27529,HAMILTON RBG CS,1,-79.90833,5.86,102.0,151.0,2000,2026,-5.0
37,49908,HAMILTON A,2,-79.935,9.13,237.7,15.3,2011,2026,-5.0
37,7868,BURLINGTON PIERS (AUT),3,-79.8,13.84,77.4,175.6,1994,2026,-5.0
37,5097,TORONTO LESTER B. PEARSON INT'L A,4,-79.63056,54.01,173.4,79.6,1953,2013,-5.0
37,4932,HAMILTON A,5,-79.93418,9.36,237.7,15.3,1970,2011,-5.0
41,27377,STE-FOY (U. LAVAL),1,-71.2875,7.79,91.4,80.4,1996,2026,-5.0
41,26892,QUEBEC/JEAN LESAGE INTL,2,-71.38167,11.02,60.0,49.0,2005,2026,-5.0
41,51457,QUEBEC INTL A,3,-71.39333,12.45,74.4,63.4,2013,2026,-5.0
41,5251,QUEBEC/JEAN LESAGE INTL A,4,-71.38333,11.31,74.4,63.4,1953,2013,-5.0
41,5293,VALCARTIER A,5,-71.50361,20.27,167.6,156.6,1978,2026,-5.0
54,50620,HALIFAX STANFIELD INT'L A,1,-63.50861,26.69,145.4,96.4,2012,2026,-4.0
54,53938,HALIFAX STANFIELD INT'L A,2,-63.50861,26.69,145.4,96.4,2019,2026,-4.0
54,6465,SHEARWATER A,3,-63.5,34.22,44.0,5.0,1953,2026,-4.0
54,6358,HALIFAX STANFIELD INT'L A,4,-63.50001,26.0,145.4,96.4,1961,2012,-4.0
54,10945,SHEARWATER JETTY,5,-63.52333,36.02,5.5,43.5,1994,2026,-4.0
56,50093,LONDON A,1,-81.15111,11.3,278.0,26.0,2012,2026,-5.0
56,10999,LONDON CS,2,-81.15,11.38,278.0,26.0,1994,2026,-5.0
56,27528,DELHI CS,3,-80.55,56.75,231.7,20.3,1999,2026,-5.0
56,4789,LONDON INT'L AIRPORT,4,-81.15111,11.3,278.0,26.0,1953,2012,-5.0
94,50091,SASKATOON INTL A,1,-106.7,4.8,504.1,20.1,2012,2026,-6.0
94,47707,SASKATOON RCS,2,-106.71889,6.03,504.1,20.1,2008,2026,-6.0
94,3328,SASKATOON DIEFENBAKER INT'L A,3,-106.71667,5.52,504.1,20.1,1953,2012,-6.0
94,6872,SASKATOON KERNEN FARM,4,-106.55,6.48,510.0,26.0,1996,2006,-6.0
99,48569,KITCHENER/WATERLOO,1,-80.37861,8.61,321.6,4.4,2010,2026,-5.0
99,41983,ELORA RCS,2,-80.41667,25.78,376.4,50.4,2003,2026,-5.0
99,53378,BRANTFORD AIRPORT,3,-80.33139,33.53,245.5,80.5,2014,2026,-5.0
99,4932,HAMILTON A,4,-79.93418,51.53,237.7,88.3,1970,2011,-5.0
99,4832,WATERLOO WELLINGTON A,5,-80.38333,7.72,317.0,9.0,1966,2002,-5.0
109,54738,WINDSOR A,1,-82.95528,2.96,189.6,0.4,2018,2026,-5.0
109,30266,HARROW CDA AUTO,2,-82.9,29.25,191.0,1.0,2000,2026,-5.0
109,52838,WINDSOR A,3,-82.95528,2.96,189.6,0.4,2014,2018,-5.0
109,4716,WINDSOR A,4,-82.95556,2.97,189.6,0.4,1953,2014,-5.0
111,28011,REGINA RCS,1,-104.66667,3.73,577.3,0.3,1996,2026,-6.0
111,51441,REGINA INTL A,2,-104.66611,3.79,577.6,0.6,2013,2026,-6.0
111,3002,REGINA INT'L A,3,-104.66667,3.73,577.6,0.6,1953,2013,-6.0
149,48649,OSHAWA,1,-78.88334,1.74,139.9,34.9,2010,2026,-5.0
149,31688,TORONTO CITY,2,-79.4,51.93,112.5,7.5,2002,2026,-5.0
149,48952,PETERBOROUGH A,3,-78.36333,52.11,191.4,86.4,2010,2026,-5.0
149,5085,TORONTO ISLAND A,4,-79.395,54.18,76.5,28.5,1957,2006,-5.0
149,5186,PETERBOROUGH A,5,-78.36667,52.14,191.4,86.4,1969,2005,-5.0
150,48371,SHERBROOKE,1,-71.69139,21.59,241.4,66.4,2009,2026,-5.0
150,30171,SHERBROOKE A,2,-71.68333,22.11,241.4,66.4,2004,2009,-5.0
150,5530,SHERBROOKE A,3,-71.68333,22.11,241.4,66.4,1962,2005,-5.0
156,50840,SUDBURY A,1,-80.79778,18.7,348.4,57.4,2013,2026,-5.0
156,49508,SUDBURY CLIMATE,2,-80.79613,18.95,348.0,57.0,2011,2026,-5.0
156,4132,SUDBURY A,3,-80.79778,18.7,348.4,57.4,1954,2013,-5.0
167,50308,ABBOTSFORD A,1,-122.36,7.34,59.1,54.9,2011,2026,-8.0
167,54238,ABBOTSFORD A,2,-122.36,7.34,59.1,54.9,2016,2026,-8.0
167,6830,PITT MEADOWS CS,3,-122.69002,33.05,5.0,109.0,1994,2026,-8.0
167,702,ABBOTSFORD A,4,-122.36,7.34,59.1,54.9,1953,2012,-8.0
167,925,WHITE ROCK CAMPBELL SCIENTIFIC,5,-122.78389,36.68,13.0,101.0,1994,2026,-8.0
175,27604,EGBERT CS,1,-79.78333,16.43,251.0,18.0,2000,2026,-5.0
