location_id,usaf,wban,isd_ids,lon,dist_km,elev_m,utc_offset_hours,begin_verified
0,725030,14732,72503014732|72503099999|99999914732,-73.88,13.84,3.0,-5.0,True
1,722950,23174,72295023174|72295099999|99999923174,-118.387,9.31,29.7,-8.0,True
2,712650,99999,71265099999,-79.383,11.65,76.5,-5.0,True
3,725340,14819,72534014819|72534099999|99999914819,-87.755,8.28,185.8,-6.0,True
4,722430,12960,72243012960|72243099999|99999912960,-95.361,22.21,27.5,-6.0,True
5,711830,99999,71183099999,-73.733,4.58,32.0,-5.0,False
6,722780,23183,72278023183|72278099999|99999923183,-112.004,17.91,339.2,-7.0,True
7,724085,94732,72408594732|72408599999|99999994732,-75.013,12.84,32.9,-5.0,True
8,722530,12921,72253012921|72253099999|99999912921,-98.484,9.85,243.6,-6.0,True
9,722900,23188,72290023188|72290099999|99999923188,-117.183,12.19,4.6,-8.0,True
10,722580,13960,72258013960|72258099999|99999913960,-96.836,8.18,147.6,-6.0,False
11,718770,99999,71877099999,-114.02,9.15,1084.2,-7.0,True
12,722595,13911,72259513911|72259599999|99999913911,-97.45,9.63,185.3,-6.0,True
13,722065,93837,72206593837|72206599999|99999993837,-81.667,11.56,6.1,-5.0,True
14,716280,99999,71628099999,-75.669,18.75,114.0,-5.0,True
15,711210,99999,71121099999,-113.467,16.56,688.0,-7.0,True
16,722544,13958,72254413958|72254499999|99999913958,-97.76,2.55,204.2,-6.0,True
17,724945,23293,72494523293|72494599999|99999923293,-121.924,11.95,15.0,-8.0,True
18,723140,13881,72314013881|72314099999|99999913881,-80.954,11.28,222.6,-5.0,True
19,724280,14821,72428014821|72428099999|99999914821,-82.877,9.27,246.8,-5.0,True
20,724380,93819,72438093819|72438099999|99999993819,-86.282,12.97,241.3,-5.0,True
21,724940,23234,72494023234|72494099999|99999923234,-122.366,59.84,3.2,-8.0,True
22,727935,24234,72793524234|72793599999|99999924234,-122.315,8.6,7.6,-8.0,True
23,718520,99999,71852099999,-97.24,7.88,238.7,-6.0,True
24,724695,23036,72469523036|72469599999|99999923036,-104.75,12.27,1726.1,-7.0,True
