location_id,lat,lng,cell_lat,cell_lon,snapped
0,40.713,-74.006,40.6875,-74.0625,False
1,34.052,-118.244,34.0625,-118.1875,False
2,41.878,-87.63,41.9375,-87.6875,False
3,29.76,-95.37,29.8125,-95.3125,False
4,39.953,-75.165,39.9375,-75.1875,False
5,33.448,-112.074,33.4375,-112.0625,False
6,29.424,-98.494,29.4375,-98.4375,False
7,32.716,-117.161,32.6875,-117.1875,False
8,32.777,-96.797,32.8125,-96.8125,False
9,37.338,-121.886,37.3125,-121.9375,False
10,30.267,-97.743,30.3125,-97.6875,False
11,39.768,-86.158,39.8125,-86.1875,False
12,30.332,-81.656,30.3125,-81.6875,False
13,37.775,-122.419,37.8125,-122.4375,False
14,39.961,-82.999,39.9375,-82.9375,False
15,35.227,-80.843,35.1875,-80.8125,False
16,32.755,-97.331,32.8125,-97.3125,False
17,42.331,-83.046,42.3125,-83.0625,False
18,31.778,-106.442,31.8125,-106.4375,False
19,35.15,-90.049,35.1875,-90.0625,False
20,47.606,-122.332,47.5625,-122.3125,False
21,39.739,-104.99,39.6875,-104.9375,False
22,38.907,-77.037,38.9375,-77.0625,False
23,42.36,-71.059,42.3125,-71.0625,False
24,36.163,-86.782,36.1875,-86.8125,False
25,39.29,-76.612,39.3125,-76.5625,False
26,35.468,-97.516,35.4375,-97.5625,False
27,38.253,-85.758,38.3125,-85.8125,False
28,45.523,-122.676,45.5625,-122.6875,False
29,36.17,-115.14,36.1875,-115.1875,False
30,43.039,-87.906,43.0625,-87.9375,False
31,35.085,-106.606,35.0625,-106.5625,False
32,32.222,-110.926,32.1875,-110.9375,False
33,36.747,-119.773,36.6875,-119.8125,False
34,38.582,-121.494,38.5625,-121.4375,False
35,33.77,-118.194,33.8125,-118.1875,False
36,39.1,-94.579,39.0625,-94.5625,False
37,33.415,-111.831,33.4375,-111.8125,False
38,36.853,-75.978,36.8125,-75.9375,False
39,33.749,-84.388,33.6875,-84.4375,False
40,38.834,-104.821,38.8125,-104.8125,False
41,41.252,-95.998,41.3125,-95.9375,False
42,35.78,-78.638,35.8125,-78.6875,False
43,25.762,-80.192,25.8125,-80.1875,False
44,37.804,-122.271,37.8125,-122.3125,False
45,44.978,-93.265,44.9375,-93.3125,False
46,36.154,-95.993,36.1875,-95.9375,False
47,41.499,-81.694,41.4375,-81.6875,False
48,37.689,-97.336,37.6875,-97.3125,False
49,32.736,-97.108,32.6875,-97.0625,False
50,29.951,-90.072,29.9375,-90.0625,False
51,35.373,-119.019,35.3125,-119.0625,False
52,27.951,-82.457,27.9375,-82.4375,False
53,39.729,-104.832,39.6875,-104.8125,False
54,33.835,-117.915,33.8125,-117.9375,False
55,33.746,-117.868,33.6875,-117.8125,False
56,38.627,-90.199,38.6875,-90.1875,False
57,33.953,-117.396,33.9375,-117.4375,False
58,27.801,-97.396,27.8125,-97.4375,False
59,38.041,-84.504,38.0625,-84.5625,False
60,40.441,-79.996,40.4375,-79.9375,False
61,37.958,-121.291,37.9375,-121.3125,False
62,39.103,-84.512,39.0625,-84.5625,False
63,44.954,-93.09,44.9375,-93.0625,False
64,41.664,-83.555,41.6875,-83.5625,False
65,36.073,-79.792,36.0625,-79.8125,False
66,40.736,-74.172,40.6875,-74.1875,False
67,33.02,-96.699,33.0625,-96.6875,False
68,36.04,-114.982,36.0625,-114.9375,False
69,40.826,-96.685,40.8125,-96.6875,False
70,42.886,-78.878,42.9375,-78.9375,False
71,32.64,-117.084,32.6875,-117.0625,False
72,41.079,-85.139,41.0625,-85.1875,False
73,28.538,-81.379,28.5625,-81.4375,False
74,27.773,-82.64,27.8125,-82.6875,False
75,33.306,-111.841,33.3125,-111.8125,False
76,27.531,-99.48,27.5625,-99.4375,False
77,36.851,-76.286,36.8125,-76.3125,False
78,35.994,-78.899,35.9375,-78.9375,False
79,43.073,-89.401,43.0625,-89.4375,False
80,33.578,-101.855,33.5625,-101.8125,False
81,36.1,-80.244,36.0625,-80.1875,False
82,33.539,-112.186,33.5625,-112.1875,False
83,39.53,-119.814,39.5625,-119.8125,False
84,30.458,-91.14,30.4375,-91.1875,False
85,36.199,-115.118,36.1875,-115.0625,False
86,37.548,-121.989,37.5625,-121.9375,False
87,43.619,-116.215,43.5625,-116.1875,False
88,37.541,-77.436,37.5625,-77.4375,False
89,34.108,-117.29,34.0625,-117.3125,False
90,33.521,-86.802,33.5625,-86.8125,False
91,47.659,-117.426,47.6875,-117.4375,False
92,43.161,-77.611,43.1875,-77.5625,False
93,41.601,-93.609,41.5625,-93.5625,False
94,37.639,-120.997,37.6875,-120.9375,False
95,35.053,-78.878,35.0625,-78.9375,False
96,47.253,-122.444,47.3125,-122.4375,False
97,34.198,-119.177,34.1875,-119.1875,False
98,32.461,-84.988,32.4375,-84.9375,False
99,32.367,-86.3,32.3125,-86.3125,False
100,32.525,-93.75,32.5625,-93.6875,False
101,41.761,-88.32,41.8125,-88.3125,False
102,40.931,-73.899,40.9375,-73.9375,False
103,41.081,-81.519,41.0625,-81.5625,False
104,34.746,-92.29,34.6875,-92.3125,False
105,33.473,-82.011,33.4375,-82.0625,False
106,35.222,-101.831,35.1875,-101.8125,False
107,34.143,-118.255,34.1875,-118.3125,False
108,30.695,-88.04,30.6875,-88.0625,False
109,42.963,-85.668,42.9375,-85.6875,False
110,40.761,-111.891,40.8125,-111.9375,False
111,30.438,-84.281,30.4375,-84.3125,False
112,34.73,-86.586,34.6875,-86.5625,False
113,35.961,-83.921,35.9375,-83.9375,False
114,42.263,-71.802,42.3125,-71.8125,False
115,37.087,-76.473,37.0625,-76.4375,False
116,25.902,-97.497,25.9375,-97.4375,False
117,38.982,-94.671,38.9375,-94.6875,False
118,34.392,-118.543,34.4375,-118.5625,False
119,41.824,-71.413,41.8125,-71.4375,False
120,35.046,-85.31,35.0625,-85.3125,False
121,33.196,-117.379,33.1875,-117.4375,False
122,32.299,-90.185,32.3125,-90.1875,False
123,26.122,-80.137,26.0625,-80.1875,False
124,38.44,-122.714,38.4375,-122.6875,False
125,27.273,-80.358,27.3125,-80.3125,False
126,34.063,-117.651,34.0625,-117.6875,False
127,45.639,-122.661,45.6875,-122.6875,False
128,26.563,-81.95,26.5625,-81.9375,False
129,43.545,-96.731,43.5625,-96.6875,False
130,37.209,-93.292,37.1875,-93.3125,False
131,38.409,-121.372,38.4375,-121.3125,False
132,44.943,-123.035,44.9375,-123.0625,False
133,34.687,-118.154,34.6875,-118.1875,False
134,44.052,-123.087,44.0625,-123.0625,False
135,34.579,-118.116,34.5625,-118.0625,False
136,36.678,-121.656,36.6875,-121.6875,False
137,42.101,-72.59,42.0625,-72.5625,False
138,40.585,-105.084,40.5625,-105.0625,False
139,37.669,-122.081,37.6875,-122.0625,False
140,42.271,-89.094,42.3125,-89.0625,False
141,38.805,-77.047,38.8125,-77.0625,False
142,33.119,-117.086,33.0625,-117.0625,False
143,33.197,-96.64,33.1875,-96.6875,False
144,41.525,-88.082,41.5625,-88.0625,False
145,41.187,-73.195,41.1875,-73.1875,False
146,40.917,-74.172,40.9375,-74.1875,False
147,43.048,-76.147,43.0625,-76.1875,False
148,32.767,-96.599,32.8125,-96.5625,False
149,39.759,-84.192,39.8125,-84.1875,False
150,32.084,-81.1,32.0625,-81.0625,False
151,36.53,-87.359,36.5625,-87.3125,False
152,31.117,-97.728,31.0625,-97.6875,False
153,37.03,-76.345,37.0625,-76.3125,False
154,26.203,-98.23,26.1875,-98.1875,False
155,42.514,-83.015,42.5625,-83.0625,False
156,34.001,-81.035,34.0625,-81.0625,False
157,41.308,-72.928,41.3125,-72.9375,False
158,31.549,-97.147,31.5625,-97.1875,False
159,34.171,-118.838,34.1875,-118.8125,False
160,41.978,-91.666,41.9375,-91.6875,False
161,32.776,-79.931,32.8125,-79.9375,False
162,36.33,-119.292,36.3125,-119.3125,False
163,39.056,-95.689,39.0625,-95.6875,False
164,29.652,-82.325,29.6875,-82.3125,False
165,38.752,-121.288,38.8125,-121.3125,False
166,32.976,-96.89,32.9375,-96.9375,False
167,26.271,-80.271,26.3125,-80.3125,False
168,41.053,-73.539,41.0625,-73.5625,False
169,37.978,-122.031,37.9375,-122.0625,False
170,41.764,-72.685,41.8125,-72.6875,False
171,30.224,-92.02,30.1875,-92.0625,False
172,31.997,-102.078,31.9375,-102.0625,False
173,33.629,-112.368,33.6875,-112.3125,False
174,33.215,-97.133,33.1875,-97.1875,False
175,34.536,-117.293,34.5625,-117.3125,False
176,37.972,-87.571,37.9375,-87.5625,False
177,32.449,-99.733,32.4375,-99.6875,False
178,33.952,-83.358,33.9375,-83.3125,False
179,38.104,-122.257,38.0625,-122.3125,False
180,40.608,-75.49,40.5625,-75.4375,False
181,35.223,-97.439,35.1875,-97.4375,False
182,30.08,-94.127,30.0625,-94.1875,False
183,35.846,-86.39,35.8125,-86.4375,False
184,42.281,-83.743,42.3125,-83.6875,False
185,39.782,-89.65,39.8125,-89.6875,False
186,40.694,-89.589,40.6875,-89.5625,False
187,40.234,-111.659,40.1875,-111.6875,False
188,34.069,-118.028,34.0625,-118.0625,False
189,38.952,-92.334,38.9375,-92.3125,False
190,42.733,-84.556,42.6875,-84.5625,False
191,46.877,-96.79,46.9375,-96.8125,False
192,34.226,-77.945,34.1875,-77.9375,False
193,33.158,-117.351,33.1875,-117.3125,False
194,44.012,-92.48,44.0625,-92.4375,False
195,31.846,-102.368,31.8125,-102.3125,False
196,42.996,-71.455,42.9375,-71.4375,False
197,42.035,-88.283,42.0625,-88.3125,False
198,40.61,-111.939,40.5625,-111.9375,False
199,30.508,-97.679,30.5625,-97.6875,False
200,27.966,-82.8,27.9375,-82.8125,False
201,41.558,-73.051,41.5625,-73.0625,False
202,45.5,-122.43,45.5625,-122.4375,False
203,38.249,-122.04,38.1875,-122.0625,False
204,45.783,-108.501,45.8125,-108.5625,False
205,42.633,-71.316,42.6875,-71.3125,False
206,38.254,-104.609,38.3125,-104.5625,False
207,35.956,-80.005,35.9375,-80.0625,False
208,33.554,-117.214,33.5625,-117.1875,False
209,38.005,-121.806,38.0625,-121.8125,False
